
RAxML-NG v. 1.1.0-master released on 04.08.2022 by The Exelixis Lab.
Developed by: Alexey M. Kozlov and Alexandros Stamatakis.
Contributors: Diego Darriba, Tomas Flouri, Benoit Morel, Sarah Lutteropp, Ben Bettisworth.
Latest version: https://github.com/amkozlov/raxml-ng
Questions/problems/suggestions? Please visit: https://groups.google.com/forum/#!forum/raxml

System: Intel(R) Core(TM) i7-7500U CPU @ 2.70GHz, 2 cores, 15 GB RAM

RAxML-NG was called at 12-Dec-2022 12:31:49 as follows:

./../tools/raxml-ng/build/bin/raxml-ng --msa data/language_alignments/morpho.phy --model BIN --prefix output/raxml/interim/pars100rand100bin --threads 2 --seed 2 --tree pars{100},rand{100}

Analysis options:
  run mode: ML tree search
  start tree(s): random (100) + parsimony (100)
  random seed: 2
  tip-inner: OFF
  pattern compression: ON
  per-rate scalers: OFF
  site repeats: ON
  fast spr radius: AUTO
  spr subtree cutoff: 1.000000
  branch lengths: proportional (ML estimate, algorithm: NR-FAST)
  SIMD kernels: AVX2
  parallelization: coarse-grained (auto), PTHREADS (2 threads), thread pinning: OFF

[00:00:00] Reading alignment from file: data/language_alignments/morpho.phy
[00:00:00] Loaded alignment with 46 taxa and 425 sites

Alignment comprises 1 partitions and 260 patterns

Partition 0: noname
Model: BIN+FO
Alignment sites / patterns: 425 / 260
Gaps: 2.81 %
Invariant sites: 39.76 %

[00:01:21] [worker #0] ML tree search #63, logLikelihood: -4143.893794
[00:01:23] [worker #1] ML tree search #68, logLikelihood: -4141.014839
[00:01:24] [worker #0] ML tree search #65, logLikelihood: -4143.893795
[00:01:25] [worker #1] ML tree search #70, logLikelihood: -4143.958528
[00:01:26] [worker #0] ML tree search #67, logLikelihood: -4143.894486
[00:01:27] [worker #1] ML tree search #72, logLikelihood: -4146.943535
[00:01:29] [worker #0] ML tree search #69, logLikelihood: -4146.943714
[00:01:29] [worker #1] ML tree search #74, logLikelihood: -4141.014858
[00:01:31] [worker #0] ML tree search #71, logLikelihood: -4146.943852
[00:01:31] [worker #1] ML tree search #76, logLikelihood: -4152.750528
[00:01:33] [worker #1] ML tree search #78, logLikelihood: -4143.894305
[00:01:34] [worker #0] ML tree search #73, logLikelihood: -4141.014556
[00:01:36] [worker #1] ML tree search #80, logLikelihood: -4143.958679
[00:01:37] [worker #0] ML tree search #75, logLikelihood: -4141.014557
[00:01:39] [worker #0] ML tree search #77, logLikelihood: -4148.837007
[00:01:39] [worker #1] ML tree search #82, logLikelihood: -4146.943395
[00:01:41] [worker #0] ML tree search #79, logLikelihood: -4145.306268
[00:01:42] [worker #1] ML tree search #84, logLikelihood: -4143.893859
[00:01:43] [worker #0] ML tree search #81, logLikelihood: -4143.894760
[00:01:44] [worker #1] ML tree search #86, logLikelihood: -4148.837098
[00:01:45] [worker #0] ML tree search #83, logLikelihood: -4143.893834
[00:01:46] [worker #1] ML tree search #88, logLikelihood: -4146.943505
[00:01:47] [worker #0] ML tree search #85, logLikelihood: -4143.893942
[00:01:48] [worker #1] ML tree search #90, logLikelihood: -4157.648517
[00:01:49] [worker #0] ML tree search #87, logLikelihood: -4146.955474
[00:01:52] [worker #1] ML tree search #92, logLikelihood: -4145.306028
[00:01:53] [worker #0] ML tree search #89, logLikelihood: -4146.943389
[00:01:55] [worker #1] ML tree search #94, logLikelihood: -4143.958573
[00:01:55] [worker #0] ML tree search #91, logLikelihood: -4143.958808
[00:01:57] [worker #0] ML tree search #93, logLikelihood: -4141.015576
[00:01:58] [worker #1] ML tree search #96, logLikelihood: -4146.943370
[00:01:59] [worker #0] ML tree search #95, logLikelihood: -4146.943589
[00:02:00] [worker #1] ML tree search #98, logLikelihood: -4141.014587
[00:02:03] [worker #0] ML tree search #97, logLikelihood: -4145.305937
[00:02:03] [worker #1] ML tree search #100, logLikelihood: -4143.958464
[00:02:04] [worker #1] ML tree search #102, logLikelihood: -4148.837047
[00:02:05] [worker #0] ML tree search #99, logLikelihood: -4143.958455
[00:02:07] [worker #0] ML tree search #101, logLikelihood: -4148.837034
[00:02:07] [worker #1] ML tree search #104, logLikelihood: -4146.943418
[00:02:08] [worker #0] ML tree search #103, logLikelihood: -4148.837009
[00:02:09] [worker #1] ML tree search #106, logLikelihood: -4143.893804
[00:02:10] [worker #0] ML tree search #105, logLikelihood: -4141.014554
[00:02:11] [worker #1] ML tree search #108, logLikelihood: -4148.837081
[00:02:12] [worker #1] ML tree search #110, logLikelihood: -4162.025149
[00:02:14] [worker #0] ML tree search #107, logLikelihood: -4141.014841
[00:02:15] [worker #0] ML tree search #109, logLikelihood: -4148.837009
[00:02:15] [worker #1] ML tree search #112, logLikelihood: -4145.316089
[00:02:17] [worker #0] ML tree search #111, logLikelihood: -4143.958434
[00:02:19] [worker #0] ML tree search #113, logLikelihood: -4143.958433
[00:02:20] [worker #1] ML tree search #114, logLikelihood: -4141.017214
[00:02:22] [worker #1] ML tree search #116, logLikelihood: -4143.958483
[00:02:23] [worker #1] ML tree search #118, logLikelihood: -4143.958428
[00:02:23] [worker #0] ML tree search #115, logLikelihood: -4145.306783
[00:02:25] [worker #1] ML tree search #120, logLikelihood: -4148.769898
[00:02:27] [worker #1] ML tree search #122, logLikelihood: -4141.014642
[00:02:28] [worker #0] ML tree search #117, logLikelihood: -4145.306847
[00:02:28] [worker #1] ML tree search #124, logLikelihood: -4141.014589
[00:02:30] [worker #0] ML tree search #119, logLikelihood: -4141.015328
[00:02:31] [worker #1] ML tree search #126, logLikelihood: -4143.893815
[00:02:32] [worker #0] ML tree search #121, logLikelihood: -4148.837031
[00:02:33] [worker #1] ML tree search #128, logLikelihood: -4143.958447
[00:02:34] [worker #0] ML tree search #123, logLikelihood: -4162.025154
[00:02:36] [worker #1] ML tree search #130, logLikelihood: -4145.306603
[00:02:36] [worker #0] ML tree search #125, logLikelihood: -4146.943355
[00:02:38] [worker #1] ML tree search #132, logLikelihood: -4141.014562
[00:02:40] [worker #0] ML tree search #127, logLikelihood: -4148.837018
[00:02:41] [worker #1] ML tree search #134, logLikelihood: -4146.943464
[00:02:43] [worker #0] ML tree search #129, logLikelihood: -4162.025139
[00:02:43] [worker #1] ML tree search #136, logLikelihood: -4164.020000
[00:02:45] [worker #0] ML tree search #131, logLikelihood: -4143.958449
[00:02:45] [worker #1] ML tree search #138, logLikelihood: -4141.014554
[00:02:49] [worker #0] ML tree search #133, logLikelihood: -4145.306773
[00:02:49] [worker #1] ML tree search #140, logLikelihood: -4145.306646
[00:02:51] [worker #0] ML tree search #135, logLikelihood: -4141.014694
[00:02:52] [worker #1] ML tree search #142, logLikelihood: -4145.316285
[00:02:53] [worker #0] ML tree search #137, logLikelihood: -4148.837035
[00:02:54] [worker #1] ML tree search #144, logLikelihood: -4148.837029
[00:02:55] [worker #0] ML tree search #139, logLikelihood: -4151.167350
[00:02:56] [worker #0] ML tree search #141, logLikelihood: -4164.019981
[00:02:58] [worker #1] ML tree search #146, logLikelihood: -4145.306642
[00:03:00] [worker #0] ML tree search #143, logLikelihood: -4145.306366
[00:03:02] [worker #1] ML tree search #148, logLikelihood: -4156.622133
[00:03:02] [worker #0] ML tree search #145, logLikelihood: -4172.019235
[00:03:04] [worker #1] ML tree search #150, logLikelihood: -4157.648048
[00:03:06] [worker #1] ML tree search #152, logLikelihood: -4141.014555
[00:03:06] [worker #0] ML tree search #147, logLikelihood: -4145.306776
[00:03:08] [worker #1] ML tree search #154, logLikelihood: -4172.019267
[00:03:08] [worker #0] ML tree search #149, logLikelihood: -4148.837014
[00:03:10] [worker #0] ML tree search #151, logLikelihood: -4143.958476
[00:03:11] [worker #1] ML tree search #156, logLikelihood: -4143.894664
[00:03:13] [worker #1] ML tree search #158, logLikelihood: -4141.014688
[00:03:14] [worker #0] ML tree search #153, logLikelihood: -4156.622113
[00:03:15] [worker #0] ML tree search #155, logLikelihood: -4143.958434
