phlorest_taxa_id,lexibank_taxa_id
Azeri,Azeri
BarabaTatar,Baraba
Bashkir,Bashkir
Chuvash,Chuvash
CrimeanTatar,CrimeanTatar
Cuman,CodexCumanicus
Dolgan,Dolgan
Gagauz,Gagauz
KarachayBalkar,KarachayBalkar
Karaim,Karaim
Karakalpak,KaraKalpak
Kazakh,Kazakh
KazanTatar,Tatar
Khakas,Khakas
Khalaj,Khalaj
Kirghiz,Kirghiz
Kumyk,Kumyk
MiddleChulym,MiddleChulym
Nogai,Nogai
NorthAltay,NorthAltai
OldTurkic,OldUyghur
Salar,Salar
SarygYugur,SarygYugur
Shor,Shor
SouthAltay,SouthAltai
Tofa,Tofa
Turkish,Turkish
Turkmen,Turkmen
Tuvan,Tuvan
Uyghur,Uighur
Uzbek,Uzbek
Yakut,Yakut
