phlorest_taxa_id,lexibank_taxa_id
Afghan,74
Afrikaans,27
Albanian_C,84
Albanian_G,82
Albanian_K,83
Albanian_T,80
Albanian_Top,81
Armenian_List,72
Armenian_Mod,71
Baluchi,78
Bengali,63
Brazilian,22
Breton_List,5
Breton_SE,6
Breton_ST,7
Bulgarian,53
Byelorussian,49
Catalan,23
Czech,45
Czech_E,47
Danish,33
Dutch_List,26
English_ST,37
Faroese,36
Flemish,28
French,13
French_Creole_C,15
French_Creole_D,16
Frisian,29
German_ST,24
Greek_D,69
Greek_K,70
Greek_MD,67
Greek_ML,66
Greek_Mod,68
Gujarati,59
Gypsy_Gk,55
Hindi,62
Hittite
Icelandic_ST,35
Irish_A,1
Irish_B,2
Italian,10
Kashmiri,57
Khaskura,65
Ladin,11
Lahnda,61
Latvian,41
Lithuanian_O,39
Lithuanian_ST,40
Lusatian_L,43
Lusatian_U,44
Macedonian,52
Marathi,58
Nepali_List,64
Ossetic,73
Panjabi_ST,60
Penn_Dutch,25
Persian_List,76
Polish,50
Portuguese_ST,21
Provencal,12
Riksmal,34
Rumanian_List,8
Russian,51
Sardinian_C,19
Sardinian_L,18
Sardinian_N,17
Serbocroatian,54
Singhalese,56
Slovak,46
Slovenian,42
Spanish,20
Swedish_List,32
Swedish_Up,30
Swedish_VL,31
Tadzik,77
Takitaki,38
Tocharian_A
Tocharian_B
Ukrainian,48
Vlach,9
Wakhi,79
Walloon,14
Waziri,75
Welsh_C,4
Welsh_N,3
,92(Serbocroatian P)
,89(Slovac P)
,91(Slovenaian P)
,86 (Ukrainian P)
,85 (Russian P)
,88 (polish P)
,94 (Bulgarian P)
,93 (Macedonian P)
,90 (Czech P)
,87 (Byelorussian P)
,95 (Albanian)
