phlorest_taxa_id,lexibank_taxa_id
E52_Mbeere,e52mbeere
E531_Muthambi,e531muthambi
E531_Mwimbi,e531mwimbi
E53_Igoji,e53igoji
E53_Imenti,e53imenti
E53_Meru,e53meru
E53_Meruimenti,e53meruimenti
E53_Merutig,e53merutig
E53_Miutini,e53miutini
E53_Tigania,e53tigania
E541_Chuka,e541chuka
E54_Tharaka,e54tharaka
E55_Kamba,e55kamba
E55_Kamba_Kitu,e55kambakitu
E55_Kamba_Mach,e55kambamach
E56_Daiso,e56daiso
E621B_Machame,e621bmachame
E621C_Siha,e621csiha
E621D_Kibosho,e621dkibosho
E622A_Kimochi,e622akimochi
E622C_Lema,e622clema
E622C_Mamba,e622cmamba
E622C_Vunjo,e622cvunjo
E623A_Kiseri,e623akiseri
E623D_Keni,e623dkeni
E623_Mkuu,e623mkuu
E64_Kahe,e64kahe
E65_Gweno,e65gweno
E701_Elwana,e701elwana
E71A_Upper_Pokomo,e71aupperpokomo
E72a_Giryama,e72agiryama
E73_Digo,e73digo
E74a_Dawida,e74adawida
E74a_Tuveta,e74atuveta
F12_Bende,f12bende
F21_Ntuzu,f21ntuzu
F21_Sukuma,f21sukuma
F22_Nyamwezi,f22nyamwezi
F23_Sumbwa,f23sumbwa
F24_Kimbu,f24kimbu
F25_Bungu,f25bungu
F31_Nyiramba,f31nyiramba
F32_Nyaturucha,f32nyaturucha
F32_Nyaturuwil,f32nyaturuwil
F33_Langi,f33langi
Fefe_Grassfields,fefegrassfields
G11_Gogo,g11gogo
G12_Kagulu,g12kagulu
G22A_North_Pare,g22anorthpare
G22B_South_Pare,g22bsouthpare
G22_Asu,g22asu
G23_Sambaa,g23sambaa
G24_Bondei,g24bondei
G31_Zigua,g31zigua
G32_Doe,g32doe
G32_Kwere,g32kwere
G33_Zaramo,g33zaramo
G34_Nguungulu,g34nguungulu
G35_Luguru,g35luguru
G36_Kami,g36kami
G37_Kutu,g37kutu
G39_Saghala,g39saghala
G401_Mwani,g401mwani
G412_Mwiini,g412mwiini
G41_Bajuni,g41bajuni
G42_Swahili,g42swahili
G42a_Amu,g42aamu
G42d_Unguja,g42dunguja
G43_Kae,g43kae
G44D_Maore,g44dmaore
G44a_Ngazija,g44angazija
G44b_Ndzwani,g44bndzwani
G51_Pogoro,g51pogoro
G52_Ndamba,g52ndamba
G61_Sangu,g61sangu
G62_Hehe,g62hehe
G63_Bena,g63bena
G64_Pangwa,g64pangwa
G65_Kinga,g65kinga
G66_Wanji,g66wanji
H111_Hangala,h111hangala
H11_Beembe,h11beembe
H12_Civili_Congo,h12civilicongo
H131_Kisundi_Congo_Kimongo_1988,h131kisundicongokimongo1988
H13_Kikunyi_1989,h13kikunyi1989
H16_Cilinji,h16cilinji
H16_Cimbala,h16cimbala
H16_Cizobe,h16cizobe
H16_Kikongo,h16kikongo
H16_Kimbata_Ngidinga,h16kimbatangidinga
H16_Kimbeko,h16kimbeko
H16a_Kisikongo_2013,h16akisikongo2013
H16a_Kisolongo_DRC_2012,h16akisolongodrc2012
H16b_Kindibu_2013,h16bkindibu2013
H16c_Kiyombe_DRC_1982,h16ckiyombedrc1982
H16c_Yombe,h16cyombe
H16d_Ciwoyo_DRC_2012,h16dciwoyodrc2012
H16f_Laadi,h16flaadi
H16g_Kimpangu_2012,h16gkimpangu2012
H16g_Ntandu,h16gntandu
H16h_Kinkanu_2012,h16hkinkanu2012
H21a_Kimbundu,h21akimbundu
H31_Yaka,h31yaka
H321_Soonde,h321soonde
H32_Suku,h32suku
H41_Mbala,h41mbala
H42_Hunganna,h42hunganna
JD53_Shi,jd53shi
JD62_Rundi,jd62rundi
JD64_Shubi,jd64shubi
JD65_Hangaza,jd65hangaza
JD66_Kiha,jd66kiha
JD67_Kivinza,jd67kivinza
JE11_Runyoro,je11runyoro
JE12_Rutooro,je12rutooro
JE13_Runyankore,je13runyankore
JE14_Rukiga,je14rukiga
JE15_Luganda,je15luganda
JE16_Lusoga,je16lusoga
JE17_Gwere,je17gwere
JE21_Runyambo,je21runyambo
JE22_Haya,je22haya
JE23_Zinza,je23zinza
