phlorest_taxa_id,lexibank_taxa_id
MiddleKorean,MKorean
NorthChungcheong,NChungcheong
NorthGyeongsang,NGyeongsang
NorthHamgyong,NHamgyong
NorthJeolla,NJeolla
NorthPyongan,NPyongan
SouthChungcheong,SChungcheong
SouthGyeongsang,SGyeongsang
SouthHamgyong,SHamgyong
SouthJeolla,SJeolla
SouthPyongan,SPyongan
