phlorest_taxa_id,lexibank_taxa_id
Afghan,Afghan
AlbanianC,Albanian_C
AlbanianG,Albanian_G
AlbanianK,Albanian_K
AlbanianTo,Albanian_Top
AncientGre,Ancient_Greek
ArmenianLi,Armenian_List
ArmenianMo,Armenian_Mod
Assamese,Assamese
Avestan,Avestan
Baluchi,Baluchi
Bengali,Bengali
Bihari,Bihari
BretonList,Breton_List
BretonSE,Breton_SE
BretonST,Breton_ST
Bulgarian,Bulgarian
Byelorussi,Byelorussian
Catalan,Catalan
ClassicalA,Classical_Armenian
Cornish,Cornish
Czech,Czech
CzechE,Czech_E
Danish,Danish
DigorOsset,Digor_Ossetic
DutchList,Dutch_List
EnglishST,English_ST
Faroese,Faroese
Flemish,Flemish
French,French
Frisian,Frisian
Friulian,Friulian
GermanST,German_ST
Gothic,Gothic
GreekML,Greek_ML
GreekMod,Greek_Mod
Gujarati,Gujarati
Hindi,Hindi
Hittite,Hittite
IcelandicS,Icelandic_ST
IrishA,Irish_A
IronOsseti,Iron_Ossetic
Italian,Italian
Kashmiri,Kashmiri
Kurdish,Kurdish
Ladin,Ladin
Lahnda,Lahnda
Latin,Latin
Latvian,Latvian
Lithuanian,Lithuanian_ST
LusatianL,Lusatian_L
LusatianU,Lusatian_U
Luvian,Luvian
Luxembourg,Luxembourgish
Lycian,Lycian
Macedonian,Macedonian
Marathi,Marathi
Marwari,Marwari
NepaliList,Nepali_List
OldChurchS,Old_Church_Slavonic
OldEnglish,Old_English
OldHighGer,Old_High_German
OldIrish,Old_Irish
OldNorse,Old_Norse
OldPersian,Old_Persian
OldPrussia,Old_Prussian
Oriya,Oriya
Oscan,Oscan
PersianLis,Persian_List
Polish,Polish
Portuguese,Portuguese_ST
Provencal,Provencal
Riksmal,Riksmal
Romani,Romani
RomanianLi,Romanian_List
Romansh,Romansh
Russian,Russian
SardinianC,Sardinian_C
SardinianL,Sardinian_L
SardinianN,Sardinian_N
ScotsGaeli,Scots_Gaelic
Serbocroat,Serbocroatian
Sindhi,Sindhi
Singhalese,Singhalese
Slovak,Slovak
Slovenian,Slovenian
Spanish,Spanish
SwedishLis,Swedish_List
SwedishUp,Swedish_Up
SwedishVL,Swedish_VL
Tadzik,Tadzik
TocharianA,Tocharian_A
TocharianB,Tocharian_B
Ukrainian,Ukrainian
Umbrian,Umbrian
Urdu,Urdu
VedicSansk,Vedic_Sanskrit
Vlach,Vlach
Wakhi,Wakhi
Walloon,Walloon
Waziri,Waziri
WelshC,Welsh_C
WelshN,Welsh_N
